name,country,genre,date_of_birth,date_of_death
Giovanni Bolzoni,ITALY,Romantic,1841,1919
Arrigo Boito,ITALY,Romantic,1842,1918
Giovanni Sgambati,ITALY,Romantic,1843,1914
Luigi Denza,ITALY,Romantic,1846,1922
Riccardo Drigo,ITALY,Romantic,1846,1930
Ernesto Köhler,ITALY,Romantic,1849,1907
Antonio Scontrino,ITALY,Romantic,1850,1922
Alfredo Catalani,ITALY,Romantic,1854,1893
Vincenzo Valente,ITALY,Romantic,1855,1921
Giuseppe Martucci,ITALY,Romantic,1856,1909
Achille Simonetti,ITALY,Romantic,1857,1928
Ruggero Leoncavallo,ITALY,Romantic,1858,1919
Giacomo Puccini,ITALY,Romantic,1858,1924
Pietro Floridia,ITALY,Romantic,1860,1932
Alberto Franchetti,ITALY,Romantic,1860,1942
Modern/Contemporary,ITALY,Modern/Contemporary,,
Marco Enrico Bossi,ITALY,Modern/Contemporary,1861,1925
Pietro Mascagni,ITALY,Modern/Contemporary,1863,1945
Franco Leoni,ITALY,Modern/Contemporary,1864,1949
Alessandro Longo,ITALY,Modern/Contemporary,1864,1945
Ferruccio Busoni,ITALY,Modern/Contemporary,1866,1924
Francesco Cilea,ITALY,Modern/Contemporary,1866,1950
Umberto Giordano,ITALY,Modern/Contemporary,1867,1948
Vittorio Monti,ITALY,Modern/Contemporary,1868,1922
Leone Sinigaglia,ITALY,Modern/Contemporary,1868,1944
Lorenzo Perosi,ITALY,Modern/Contemporary,1872,1956
Franco Alfano,ITALY,Modern/Contemporary,1875,1954
Guido Alberto Fano,ITALY,Modern/Contemporary,1875,1961
Italo Montemezzi,ITALY,Modern/Contemporary,1875,1952
Ermanno Wolf-Ferrari,ITALY,Modern/Contemporary,1876,1948
Stefano Donaudy,ITALY,Modern/Contemporary,1879,1925
Ottorino Respighi,ITALY,Modern/Contemporary,1879,1936
Ildebrando Pizzetti,ITALY,Modern/Contemporary,1880,1968
Gian Francesco Malipiero,ITALY,Modern/Contemporary,1882,1973
Alfredo Casella,ITALY,Modern/Contemporary,1883,1947
Luigi Russolo,ITALY,Modern/Contemporary,1883,1947
Riccardo Zandonai,ITALY,Modern/Contemporary,1883,1944
Franco Vittadini,ITALY,Modern/Contemporary,1884,1948
Adriano Lualdi,ITALY,Modern/Contemporary,1885,1971
Carlo Giorgio Garofalo,ITALY,Modern/Contemporary,1886,1962
Pietro Yon,ITALY,Modern/Contemporary,1886,1943
Giulia Recli,ITALY,Modern/Contemporary,1890,1970
Giorgio Federico Ghedini,ITALY,Modern/Contemporary,1892,1965
Elsa Respighi,ITALY,Modern/Contemporary,née Olivieri-Sangiacomo,
Mario Castelnuovo-Tedesco,ITALY,Modern/Contemporary,1895,1968
Aldo Finzi,ITALY,Modern/Contemporary,1897,1945
Vittorio Rieti,ITALY,Modern/Contemporary,1898,1994
Mario Pilati,ITALY,Modern/Contemporary,1903,1938
Luigi Dallapiccola,ITALY,Modern/Contemporary,1904,1975
Goffredo Petrassi,ITALY,Modern/Contemporary,1904,2003
Giacinto Scelsi,ITALY,Modern/Contemporary,1905,1988
Franco Margola,ITALY,Modern/Contemporary,1908,1992
Gian Carlo Menotti,ITALY,Modern/Contemporary,1911,2007
Nino Rota,ITALY,Modern/Contemporary,1911,1979
Giulio Viozzi,ITALY,Modern/Contemporary,1912,1984
Riccardo Malipiero,ITALY,Modern/Contemporary,1914,2003
Roman Vlad,ITALY,Modern/Contemporary,1919,2013
Bruno Maderna,ITALY,Modern/Contemporary,1920,1973
Camillo Togni,ITALY,Modern/Contemporary,1922,1993
Flavio Testi,ITALY,Modern/Contemporary,1923,2014
Franco Mannino,ITALY,Modern/Contemporary,1924,2005
Luigi Nono,ITALY,Modern/Contemporary,1924,1990
Luciano Berio,ITALY,Modern/Contemporary,1925,2003
Aldo Clementi,ITALY,Modern/Contemporary,1925,2011
Franco Evangelisti,ITALY,Modern/Contemporary,1926,1980
Franco Donatoni,ITALY,Modern/Contemporary,1927,2000
Ennio Morricone,ITALY,Modern/Contemporary,born 1928,
Antonio Braga,ITALY,Modern/Contemporary,1929,2009
Sylvano Bussotti,ITALY,Modern/Contemporary,born 1931,
Niccolò Castiglioni,ITALY,Modern/Contemporary,1932,1996
Azio Corghi,ITALY,Modern/Contemporary,born 1937,
Gian Paolo Chiti,ITALY,Modern/Contemporary,born 1939,
Salvatore Sciarrino,ITALY,Modern/Contemporary,born 1947,
Daniele Zanettovich,ITALY,Modern/Contemporary,born 1950,
Lorenzo Ferrero,ITALY,Modern/Contemporary,born 1951,
Giorgio Battistelli,ITALY,Modern/Contemporary,born 1953,
Elisabetta Brusa,ITALY,Modern/Contemporary,born 1954,
Ludovico Einaudi,ITALY,Modern/Contemporary,born 1955,
Carlo Pedini,ITALY,Modern/Contemporary,born 1956,
Piero Niro,ITALY,Modern/Contemporary,born 1957,
Giulio Castagnoli,ITALY,Modern/Contemporary,born 1958,
Marco Stroppa,ITALY,Modern/Contemporary,born 1959,
Fausto Romitelli,ITALY,Modern/Contemporary,1963,2004
Federico Maria Sardelli,ITALY,Modern/Contemporary,born 1963,
Marco Ambrosini,ITALY,Modern/Contemporary,born 1964,
Marco Betta,ITALY,Modern/Contemporary,born 1964,
Roberto Carnevale,ITALY,Modern/Contemporary,born 1966,
Paolo Longo,ITALY,Modern/Contemporary,born 1967,
Salvatore Di Vittorio,ITALY,Modern/Contemporary,born 1967,
Giovanni Allevi,ITALY,Modern/Contemporary,born 1969,
Carlo Forlivesi,ITALY,Modern/Contemporary,born 1971,
Minamoto no Hiromasa,JAPAN,Traditional,1918-1980,
Zeami Motokiyo,JAPAN,Traditional,1363-1443,
Yatsuhashi Kengyo,JAPAN,Traditional,1614,1685
Uragami Gyokudō,JAPAN,Traditional,1745-1820,
Hiromori Hayashi,JAPAN,Traditional,1831,1896
Nakao Tozan,JAPAN,Traditional,1876-1956,
Michio Miyagi,JAPAN,Traditional,1894-1956,
Isawa Shūji,JAPAN,Children's song,1851-1917,
Teiichi Okano,JAPAN,Children's song,1878-1941,
Rentarō Taki,JAPAN,Children's song,1879,1903
Nagayo Motoori,JAPAN,Children's song,1885-1945,
Kosaku Yamada,JAPAN,Children's song,1886,1965
Shinpei Nakayama,JAPAN,Children's song,1887-1952,
Ryūtarō Hirota,JAPAN,Children's song,1892-1952,
Tamezō Narita,JAPAN,Children's song,1893-1945,
Kan'ichi Shimofusa,JAPAN,Children's song,1898-1962,
Yūji Koseki,JAPAN,Children's song,1909-1989,
Yoshinao Nakada,JAPAN,Children's song,1923-2000,
Keiko Abe,JAPAN,Classical and Contemporary,1937,
Kōmei Abe,JAPAN,Classical and Contemporary,1911,
Yasushi Akutagawa,JAPAN,Classical and Contemporary,1925,
"Opera ""Orpheus in Hiroshima""",JAPAN,Classical and Contemporary,1960,
Sadao Bekku,JAPAN,Classical and Contemporary,1922,
Ikuma Dan,JAPAN,Classical and Contemporary,1924,
Keiko Fujiie,JAPAN,Classical and Contemporary,1963,
Dai Fujikura,JAPAN,Classical and Contemporary,1977,
Shirō Fukai,JAPAN,Classical and Contemporary,1907,
Kunihiko Hashimoto,JAPAN,Classical and Contemporary,1904,
Fumio Hayasaka,JAPAN,Classical and Contemporary,1914,
Hikaru Hayashi,JAPAN,Classical and Contemporary,1931,
Ryōhei Hirose,JAPAN,Classical and Contemporary,1930,
Toshio Hosokawa,JAPAN,Classical and Contemporary,1955,
Toshi Ichiyanagi,JAPAN,Classical and Contemporary,1933,
Akira Ifukube,JAPAN,Classical and Contemporary,1914,
Eclogues after Epos among Aino Races for solo voice and 4 kettle drums,JAPAN,Classical and Contemporary,1950,
Shin-ichiro Ikebe,JAPAN,Classical and Contemporary,1943,
Tomojirō Ikenouchi,JAPAN,Classical and Contemporary,1906,
Isotaro Sugata,JAPAN,Classical and Contemporary,1907,
Yoshirō Irino,JAPAN,Classical and Contemporary,1921,
Kan Ishii,JAPAN,Classical and Contemporary,1921,
Maki Ishii,JAPAN,Classical and Contemporary,1936,
Mareo Ishiketa,JAPAN,Classical and Contemporary,1916,
Kikuko Kanai,JAPAN,Classical and Contemporary,1911,
Mine Kawakami,JAPAN,Classical and Contemporary,1969,
Michio Kitazume,JAPAN,Classical and Contemporary,1948,
Yasuji Kiyose,JAPAN,Classical and Contemporary,1900,
Nobu Kōda,JAPAN,Classical and Contemporary,1870,
Jo Kondo,JAPAN,Classical and Contemporary,1947,
Hidemaro Konoye,JAPAN,Classical and Contemporary,1898,
Kiyoshige Koyama,JAPAN,Classical and Contemporary,1914,
Yoritsune Matsudaira,JAPAN,Classical and Contemporary,1907,
Teizo Matsumura,JAPAN,Classical and Contemporary,1929,
2 Piano Concertos,JAPAN,Classical and Contemporary,"1973, 1978",
Toshiro Mayuzumi,JAPAN,Classical and Contemporary,,
Mandala Symphony,JAPAN,Classical and Contemporary,1960,
Minoru Miki,JAPAN,Classical and Contemporary,1930,
Makoto Moroi,JAPAN,Classical and Contemporary,1930,
Saburō Moroi,JAPAN,Classical and Contemporary,1903,
Akira Miyoshi,JAPAN,Classical and Contemporary,1933,
Concerto for Orchestra,JAPAN,Classical and Contemporary,1964,
Akira Nishimura,JAPAN,Classical and Contemporary,1953,
Kiyoshi Nobutoki,JAPAN,Classical and Contemporary,1887,
Roh Ogura,JAPAN,Classical and Contemporary,1916,
Hiroshi Ohguri,JAPAN,Classical and Contemporary,1918,
Hisato Ohzawa,JAPAN,Classical and Contemporary,1907,
Shigeaki Saegusa,JAPAN,Classical and Contemporary,1942,
Somei Satoh,JAPAN,Classical and Contemporary,1947,
Tokichi Setoguchi,JAPAN,Classical and Contemporary,1868,
Saburō Takata,JAPAN,Classical and Contemporary,1913,
Toru Takemitsu,JAPAN,Classical and Contemporary,1930,
Asterism,JAPAN,Classical and Contemporary,1967,
Karen Tanaka,JAPAN,Classical and Contemporary,1961,
Yuzo Toyama,JAPAN,Classical and Contemporary,1931,
Kazuo Yamada,JAPAN,Classical and Contemporary,1912,
Akio Yashiro,JAPAN,Classical and Contemporary,1929,
Takashi Yoshimatsu,JAPAN,Classical and Contemporary,1953,
Joji Yuasa,JAPAN,Classical and Contemporary,1929,
Kozaburo Hirai,JAPAN,Classical and Contemporary,1910,
Masao Koga,JAPAN,no_info,1904-1978,
Shunsuke Kikuchi,JAPAN,no_info,born 1931,
Koichi Sugiyama,JAPAN,no_info,born 1931,
Ichirou Mizuki,JAPAN,no_info,born 1948,
Isao Tomita,JAPAN,no_info,1932-2016,
Yasuo Kuwahara,JAPAN,no_info,1946,2003
Joe Hisaishi,JAPAN,no_info,born 1950,
Ryuichi Sakamoto,JAPAN,no_info,born 1952,
Shirō Sagisu,JAPAN,no_info,born 1957,
Yoichiro Yoshikawa,JAPAN,no_info,born 1957,
Nobuo Uematsu,JAPAN,no_info,born 1959,
Koji Kondo,JAPAN,no_info,born 1961,
Michiru Oshima,JAPAN,no_info,born 1961,
Michiru Yamane,JAPAN,no_info,born 1963,
Yoko Kanno,JAPAN,no_info,born 1964,
Yuki Kajiura,JAPAN,no_info,born 1965,
Yasunori Mitsuda,JAPAN,no_info,born 1972,
Jānis Ivanovs,LATVIA,no_info,1906,1983
Kęstutis Antanėlis,LITHUANIA,no_info,,
Vytautas Bacevičius,LITHUANIA,no_info,,
Osvaldas Balakauskas,LITHUANIA,no_info,,
Vytautas Barkauskas,LITHUANIA,no_info,,
Vidmantas Bartulis,LITHUANIA,no_info,,
Mikalojus Konstantinas Čiurlionis,LITHUANIA,no_info,,
Balys Dvarionas,LITHUANIA,no_info,,
Nailia Galiamova,LITHUANIA,no_info,,
Gediminas Gelgotas,LITHUANIA,no_info,,
Juozas Gruodis,LITHUANIA,no_info,,
Bronius Kutavičius,LITHUANIA,no_info,,
Pol Albrecht,LUXEMBOURG,no_info,1874,1975
Louis Beicht,LUXEMBOURG,no_info,1886,1943
Tom Bimmermann,LUXEMBOURG,no_info,b. 1971,
Emile Boeres,LUXEMBOURG,no_info,1890,1944
Ivan Boumans,LUXEMBOURG,no_info,1983,
Alexis Brasseur,LUXEMBOURG,no_info,1860,1924
Helen Buchholtz,LUXEMBOURG,no_info,1877,1953
Pierre Cao,LUXEMBOURG,no_info,b. 1937,
Walter Civitareale,LUXEMBOURG,no_info,b. 1954,
Paul Dahm,LUXEMBOURG,no_info,b. 1951,
Philippe Decker,LUXEMBOURG,no_info,1840,1881
Pierre Even,LUXEMBOURG,no_info,b. 1946,
Johny Fritz,LUXEMBOURG,no_info,b. 1944,
Luc Grethen,LUXEMBOURG,no_info,b. 1964,
Dominique Heckmes,LUXEMBOURG,no_info,1878,1938
Julien Hoffmann,LUXEMBOURG,no_info,b. 1924,
Gustave Kahnt,LUXEMBOURG,no_info,1848,1923
Jean-Pierre Kemmer,LUXEMBOURG,no_info,1923,1991
Camille Kerger,LUXEMBOURG,no_info,b. 1957,
Jean-Marie Kieffer,LUXEMBOURG,no_info,b. 1960,
Lou Koster,LUXEMBOURG,no_info,1889,1973
Claude Lenners,LUXEMBOURG,no_info,b. 1956,
Bernard May,LUXEMBOURG,no_info,,
Laurent Menager,LUXEMBOURG,no_info,1835,1902
Fernand Mertens,LUXEMBOURG,no_info,1872,1957
Alexander Mullenbach,LUXEMBOURG,no_info,b. 1949,
P,LUXEMBOURG,no_info,,
Henri Pensis,LUXEMBOURG,no_info,1900,1958
Francesco Tristano Schlimé,LUXEMBOURG,no_info,b. 1981,
J. B. Tresch,LUXEMBOURG,no_info,1773,1821
Gast Waltzing,LUXEMBOURG,no_info,b. 1956,
Marcel Wengler,LUXEMBOURG,no_info,b. 1947,
Z,LUXEMBOURG,no_info,,
Jean Antoine Zinnen,LUXEMBOURG,no_info,1827,1898
Juan de Lienas,MEXICO,no_info,c. 1640,
Francisco López Capillas,MEXICO,no_info,c. 1615,1673
Juan García de Zéspedes,MEXICO,no_info,c. 1619,1678
Manuel de Sumaya,MEXICO,no_info,1678,1755
José María Bustamante,MEXICO,no_info,1777,1861
José Mariano Elízaga,MEXICO,no_info,1786,1842
First half of the 19th century,MEXICO,no_info,,
Cenobio Paniagua,MEXICO,no_info,1821,1882
Aniceto Ortega,MEXICO,no_info,1825,1875
Macedonio Alcalá,MEXICO,no_info,1831,1869
Melesio Morales,MEXICO,no_info,1839,1908
Felipe Villanueva,MEXICO,no_info,1862,1893
Gustavo Campa,MEXICO,no_info,1863-1934,
Ricardo Castro,MEXICO,no_info,1864,1907
Juventino Rosas,MEXICO,no_info,1868,1894
Miguel Lerdo de Tejada,MEXICO,no_info,1869,1941
Julián Carrillo,MEXICO,no_info,1875,1965
José Rolón,MEXICO,no_info,1876,1945
Manuel María Ponce,MEXICO,no_info,1882,1948
Candelario Huízar,MEXICO,no_info,1883,1970
José Pablo Moncayo,MEXICO,no_info,,
Carlos Chávez,MEXICO,no_info,1899,1978
Silvestre Revueltas,MEXICO,no_info,1899,1940
Eduardo Hernández Moncada,MEXICO,no_info,1899,1995
Luis Sandi,MEXICO,no_info,1905,1996
Higinio Ruvalcaba,MEXICO,no_info,1905-1976,
Daniel Ayala Pérez,MEXICO,no_info,1906,1975
Miguel Bernal Jiménez,MEXICO,no_info,1910,1956
Blas Galindo,MEXICO,no_info,1910,1943
Salvador Contreras,MEXICO,no_info,1910,1982
Mario Ruiz Armengol,MEXICO,no_info,1914,2001
Carlos Jiménez Mabarak,MEXICO,no_info,1916,1994
Manuel Enríquez,MEXICO,no_info,1926,1994
Francisco Savín,MEXICO,no_info,1929-2017,
Rosa Guraieb,MEXICO,no_info,1931-2014,
Eduardo Mata,MEXICO,no_info,1942,1995
Ernesto Cortázar II,MEXICO,no_info,1940,2004
Mario Lavista,MEXICO,no_info,born 1943,
Julio Estrada,MEXICO,no_info,born 1943,
Graciela Agudelo,MEXICO,no_info,1945,2018
Daniel Catán,MEXICO,no_info,1949,2011
Arturo Márquez,MEXICO,no_info,born 1950,
Marcela Rodríguez,MEXICO,no_info,1951,
Benjamín Juárez Echenique,MEXICO,no_info,1951,
Eduardo Diazmuñoz,MEXICO,no_info,1953,
Leandro Espinosa,MEXICO,no_info,1955,
Javier Álvarez,MEXICO,no_info,born 1956,
Hilda Paredes,MEXICO,no_info,born 1957,
Victor Rasgado,MEXICO,no_info,born 1959,
Ana Lara,MEXICO,no_info,1959,
Ricardo Zohn-Muldoon,MEXICO,no_info,born 1962,
Carlos Sánchez-Gutierrez,MEXICO,no_info,born 1964,
Mariana Villanueva,MEXICO,no_info,1964,
Gabriela Ortiz,MEXICO,no_info,born 1964,
Juan Trigos,MEXICO,no_info,born 1965,
Javier Torres Maldonado,MEXICO,no_info,1968,
Enrico Chapela,MEXICO,no_info,born 1974,
Gabriel Pareyón,MEXICO,no_info,born 1974,
Michel van der Aa,NETHERLANDS,no_info,born 1970,
Maarten Altena,NETHERLANDS,no_info,born 1943,
Hendrik Andriessen,NETHERLANDS,no_info,1892,1981
Jurriaan Andriessen,NETHERLANDS,no_info,1925,1996
Louis Andriessen,NETHERLANDS,no_info,born 1939,
Willem Andriessen,NETHERLANDS,no_info,1887,1964
Peter van Anrooy,NETHERLANDS,no_info,1879,1954
Caroline Ansink,NETHERLANDS,no_info,born 1959,
Dina Appeldoorn,NETHERLANDS,no_info,1884,1938
Joseph Ascher,NETHERLANDS,no_info,1829,1869
Svitlana Azarova,NETHERLANDS,no_info,born 1976,
Kees van Baaren,NETHERLANDS,no_info,1906,1970
Harry Bannink,NETHERLANDS,no_info,1929,1999
Josquin Baston,NETHERLANDS,no_info,fl. 1542,1563
Sonja Beets,NETHERLANDS,no_info,born 1953,
Jeanne Beijerman-Walraven,NETHERLANDS,no_info,1878,1969
Gerard Beljon,NETHERLANDS,no_info,born 1952,
Gilius van Bergeijk,NETHERLANDS,no_info,born 1946,
Gertrude van den Bergh,NETHERLANDS,no_info,1793,1840
Bart Berman,NETHERLANDS,no_info,born 1938,
Konrad Boehmer,NETHERLANDS,no_info,1941,2014
Rob du Bois,NETHERLANDS,no_info,1934,2013
Cornelis de Bondt,NETHERLANDS,no_info,born 1953,
Cornelis Boscoop,NETHERLANDS,no_info,before 1531,1573
Henriëtte Hilda Bosmans,NETHERLANDS,no_info,1895,1952
Jan Brandts Buys,NETHERLANDS,no_info,1868,1933
Johannes Bernardus van Bree,NETHERLANDS,no_info,1801,1857
Theo Bruins,NETHERLANDS,no_info,1929,1993
Benedictus Buns,NETHERLANDS,no_info,1642,1716
Pieter Bustijn,NETHERLANDS,no_info,c. 1649,1729
Jozef Cleber,NETHERLANDS,no_info,1916,1999
Ghiselin Danckerts,NETHERLANDS,no_info,c. 1510,c. 1565
Lex van Delden,NETHERLANDS,no_info,1919,1988
Patrick van Deurzen,NETHERLANDS,no_info,born 1964,
Alphons Diepenbrock,NETHERLANDS,no_info,1862,1921
Bernard van Dieren,NETHERLANDS,no_info,1887,1936
Rudi Martinus van Dijk,NETHERLANDS,no_info,1932,2003
Oscar van Dillen,NETHERLANDS,no_info,born 1958,
Jakob van Domselaer,NETHERLANDS,no_info,1890,1960
Cornelis Dopper,NETHERLANDS,no_info,1870,1939
Sem Dresden,NETHERLANDS,no_info,1881,1957
Margriet Ehlen,NETHERLANDS,no_info,born 1943,
Douwe Eisenga,NETHERLANDS,no_info,born 1961,
Huib Emmer,NETHERLANDS,no_info,born 1951,
Ivo van Emmerik,NETHERLANDS,no_info,born 1961,
Rudolf Escher,NETHERLANDS,no_info,1912,1980
Jacob van Eyck,NETHERLANDS,no_info,c. 1590,1657
Martinus Fabri,NETHERLANDS,no_info,fl. 1395,1400
Willem de Fesch,NETHERLANDS,no_info,1687,1761
Eduard Flipse,NETHERLANDS,no_info,1896,1973
Carel Anton Fodor,NETHERLANDS,no_info,1768,1846
Wim Franken,NETHERLANDS,no_info,1922,2012
Géza Frid,NETHERLANDS,no_info,1904,1989
Joep Franssens,NETHERLANDS,no_info,born 1955,
Jan van Gilse,NETHERLANDS,no_info,1881,1944
Cor de Groot,NETHERLANDS,no_info,1914,1993
Jean-Pierre Guiran,NETHERLANDS,no_info,born 1957,
Richard Hageman,NETHERLANDS,no_info,1881,1966
Walter Hekster,NETHERLANDS,no_info,1937,2012
Pieter Hellendaal,NETHERLANDS,no_info,1721,1799
Gerard Hengeveld,NETHERLANDS,no_info,1910,2001
Hans Henkemans,NETHERLANDS,no_info,1913,1995
Jonny Heykens,NETHERLANDS,no_info,1884,1945
Rozalie Hirs,NETHERLANDS,no_info,born 1965,
Charles Hofmann,NETHERLANDS,no_info,1763,1823
Richard Hol,NETHERLANDS,no_info,1825 - 1904,
Simeon ten Holt,NETHERLANDS,no_info,1923-2012,
Joachim van den Hove,NETHERLANDS,no_info,c. 1567,1620
Constantijn Huygens,NETHERLANDS,no_info,1596,1687
Guus Janssen,NETHERLANDS,no_info,born 1951,
Willem Jeths,NETHERLANDS,no_info,born 1959,
Pierre Kartner,NETHERLANDS,no_info,born 1935,
Johann Andreas Kauchlitz Colizzi,NETHERLANDS,no_info,c. 1742-1808,
Tristan Keuris,NETHERLANDS,no_info,1946,1996
Jan Kleinbussink,NETHERLANDS,no_info,born 1946,
Gerard Kockelmans,NETHERLANDS,no_info,1925,1965
Hans Kockelmans,NETHERLANDS,no_info,,
Jan Koetsier,NETHERLANDS,no_info,1911,2006
Servaes de Koninck,NETHERLANDS,no_info,c. 1654,c. 1701
Andreas Kunstein,NETHERLANDS,no_info,born 1967,
Guillaume Landré,NETHERLANDS,no_info,1905,1968
Vanessa Lann,NETHERLANDS,no_info,born 1968,
Reinbert de Leeuw,NETHERLANDS,no_info,born 1938,
Ton de Leeuw,NETHERLANDS,no_info,1926,1996
Rick van der Linden,NETHERLANDS,no_info,1946,2006
Theo Loevendie,NETHERLANDS,no_info,born 1930,
Arjen Anthony Lucassen,NETHERLANDS,no_info,born 1960,
Erik van der Luijt,NETHERLANDS,no_info,born 1970,
Daan Manneke,NETHERLANDS,no_info,born 1939,
Tera de Marez Oyens,NETHERLANDS,no_info,1932,1996
Ned McGowan,NETHERLANDS,no_info,born 1970,
Johan de Meij,NETHERLANDS,no_info,born 1953,
Chiel Meijering,NETHERLANDS,no_info,born 1954,
Misha Mengelberg,NETHERLANDS,no_info,born 1934,
Willem Mengelberg,NETHERLANDS,no_info,1871,1951
Carlos Micháns,NETHERLANDS,no_info,born 1950,
Fred Momotenko,NETHERLANDS,no_info,born 1970,
N,NETHERLANDS,no_info,,
Anthoni van Noordt,NETHERLANDS,no_info,c. 1619,1675
Cornélie van Oosterzee,NETHERLANDS,no_info,1863,1943
Léon Orthel,NETHERLANDS,no_info,1905,1985
Willem van Otterloo,NETHERLANDS,no_info,1907,1978
Cornelis Thymenszoon Padbrué,NETHERLANDS,no_info,c. 1592,1670
Martijn Padding,NETHERLANDS,no_info,born 1956,
Jan Gerard Palm,NETHERLANDS,no_info,1831,1906
Paul Panhuysen,NETHERLANDS,no_info,born 1934,
David Petersen,NETHERLANDS,no_info,c. 1651,1737
Willem Pijper,NETHERLANDS,no_info,1894,1947
Edouard Potjes,NETHERLANDS,no_info,1860,1931
Dick Raaijmakers,NETHERLANDS,no_info,1930-2013,
Ernst Reijseger,NETHERLANDS,no_info,born 1954,
Catharina van Rennes,NETHERLANDS,no_info,1858-1940,
Richard Rijnvos,NETHERLANDS,no_info,born 1964,
Julius Röntgen,NETHERLANDS,no_info,1855,1932
Jan Rokus van Roosendael,NETHERLANDS,no_info,,
Joey Roukens,NETHERLANDS,no_info,born 1982,
Samuel Maju Samehtini,NETHERLANDS,no_info,1816-1879,
Dirk Schäfer,NETHERLANDS,no_info,1873,1931
Peter Schat,NETHERLANDS,no_info,1935,2003
Johannes Schenck,NETHERLANDS,no_info,1660,c. 1712
Tjako van Schie,NETHERLANDS,no_info,born 1961,
Nico Schuyt,NETHERLANDS,no_info,,
Martinus Sieveking,NETHERLANDS,no_info,1867,1950
Bernhard van den Sigtenhorst Meyer,NETHERLANDS,no_info,1888,1953
Edouard Silas,NETHERLANDS,no_info,1827,1909
Jochem Slothouwer,NETHERLANDS,no_info,,
Leo Smit,NETHERLANDS,no_info,1900,1943
Carolus Souliaert,NETHERLANDS,no_info,fl.1530,
Harry Sparnaay,NETHERLANDS,no_info,born 1944,
Pieter van der Staak,NETHERLANDS,no_info,1930,2007
Joep Straesser,NETHERLANDS,no_info,,
Willem Strietman,NETHERLANDS,no_info,,
Johannes Suykerbuyk,NETHERLANDS,no_info,,
Jan Pieterszoon Sweelinck,NETHERLANDS,no_info,1562,1621
Paul Termos,NETHERLANDS,no_info,,
Edward Top,NETHERLANDS,no_info,born 1972,
Klas Torstensson,NETHERLANDS,no_info,born 1951,
Merlijn Twaalfhoven,NETHERLANDS,no_info,born 1976,
Jacob ter Veldhuis,NETHERLANDS,no_info,born 1951,
Theo Verbey,NETHERLANDS,no_info,1959,2019
Johannes Verhulst,NETHERLANDS,no_info,1816,1891
Matthijs Vermeulen,NETHERLANDS,no_info,1888,1967
Henk de Vlieger,NETHERLANDS,no_info,born 1953,
Henk van der Vliet,NETHERLANDS,no_info,born 1928,
Auguste van Biene,NETHERLANDS,no_info,1849,1913
Alexander Voormolen,NETHERLANDS,no_info,1895,1980
Jan Vriend,NETHERLANDS,no_info,born 1938,
Klaas de Vries,NETHERLANDS,no_info,born 1944,
Peter-Jan Wagemans,NETHERLANDS,no_info,born 1952,
Diderik Wagenaar,NETHERLANDS,no_info,born 1946,
Johan Wagenaar,NETHERLANDS,no_info,1862,1941
Unico Wilhelm van Wassenaer,NETHERLANDS,no_info,1692,1766
Frits Weiland,NETHERLANDS,no_info,,
Johann Wilhelm Wilms,NETHERLANDS,no_info,1772,1847
Norbert Wissing,NETHERLANDS,no_info,born 1959,
Carl Wittrock,NETHERLANDS,no_info,born 1966,
Kristoffer Zegers,NETHERLANDS,no_info,born 1973,
Robert Zuidam,NETHERLANDS,no_info,,
Jan Zwart,NETHERLANDS,no_info,,
Bernard Zweers,NETHERLANDS,no_info,1854 - 1924,
Gillian Bibby,NEW ZEALAND,no_info,born 1945,
Jack Body,NEW ZEALAND,no_info,1944,2015
Ivan Bootham,NEW ZEALAND,no_info,1939,2016
Helen Bowater,NEW ZEALAND,no_info,born 1952,
Dorothy Buchanan,NEW ZEALAND,no_info,born 1945,
Edwin Carr,NEW ZEALAND,no_info,1926,2003
Lyell Cresswell,NEW ZEALAND,no_info,born 1944,
Eve de Castro-Robinson,NEW ZEALAND,no_info,born 1956,
Gareth Farr,NEW ZEALAND,no_info,born 1968,
Sir Dean Goffin,NEW ZEALAND,no_info,1918,1984
Peter Hobbs,NEW ZEALAND,no_info,born 1970,
Mihi-ki-te-kapua,NEW ZEALAND,no_info,?-c.1872,
Douglas Lilburn,NEW ZEALAND,no_info,1915,2001
Andrew Perkins,NEW ZEALAND,no_info,born 1961,
Robert J. Pope,NEW ZEALAND,no_info,1865,1949
John Psathas,NEW ZEALAND,no_info,born 1966,
Rihi Puhiwahine Te Rangi-hirawea,NEW ZEALAND,no_info,?-1906,
John Rimmer,NEW ZEALAND,no_info,born 1939,
Anthony Ritchie,NEW ZEALAND,no_info,born 1960,
Stephen Roche,NEW ZEALAND,no_info,born 1964,
Michael Smither,NEW ZEALAND,no_info,born 1939,
Sir William Southgate,NEW ZEALAND,no_info,born 1941,
Ronald Tremain,NEW ZEALAND,no_info,1923,1998
Peter van der Fluit,NEW ZEALAND,no_info,born 1963,
Gillian Karawe Whitehead,NEW ZEALAND,no_info,born 1941,
Michael Williams,NEW ZEALAND,no_info,born 1962,
Kenneth Young,NEW ZEALAND,no_info,born 1955,
"Wayan Yudane, composer of Balinese music",NEW ZEALAND,no_info,,
Torstein Aagaard-Nilsen,NORWAY,no_info,born 1964,
Ole Bornemann Bull,NORWAY,no_info,1810,1880
Edvard Grieg,NORWAY,no_info,1843,1907
